recipe_id,dish_name,region,cuisine_raw,servings,instructions,source_row_id
11,Kerala Style Appam Recipe - Kerala Style Appam Recipe,Kerala,Kerala Recipes,4,"To make Kerala Style Appam recipe, first soak rice in water for 3 to 4 hours. Now add salt, sugar, active dry yeast in a bowl and mix. Keep it aside for 5 minutes. Now in a mixer grinder add soaked rice, cooked rice, coconut, a little water, salt and grind it to a batter. Add yeast mixture to it and mix. Take out this mixture in a bowl, cover and keep it aside to ferment for 5 to 6 hours. Now add water as per use and dilute the batter according to your needs. Take care not to dilute Jayda. Now place an appam pan on medium flame on the gas. Now put appam batter in this pan and take the pan in your hand and turn it around so that the batter fails well. Appam will be thicker than the middle and thinner than the corner. Cover the pan for 2 minutes until the corner turns a light golden brown. Remove and serve. Serve Kerala Style Appam Recipe with Kadla Curry or Vegetable Stew for your dinner.",377
12,Lentil Sauce Recipe - Stewed Coconut Milk Sauce,Kerala,Kerala Recipes,4,"To begin making Paruppu Payasam, first heat ghee in a small pan on low heat,  add in the cashew nuts and roast on low heat until golden and crisp. Turn off the heat and keep aside.In a pressure cooker, combine the washed and drained chana dal and moong dal with 1 cup of water and pressure cook for 4 whistles. Turn off the heat and allow the pressure to release naturally. Mash the dals coarsely and keep aside.Once done, transfer the dals to a heavy bottom pan, add in the  milk, coconut milk, coconut, jaggery and cardamom powder.Stir and simmer the dal mixture until the jaggery dissolves and bring the mixture to a brisk boil. Turn the heat to low immediately and simmer for a few more minutes till the payasam reaches the desired consistency. Finally add in the roasted cashew nut and transfer the Paruppu Payasam into serving bowls and serve hot or cold.Serve the Paruppu Payasam Recipe Recipe with an Onam Sadhya made of Chickpea Sundal, Cabbage Thoran/Poriyal, Kuruku Kaalan, Sadya Parippu, Steamed Rice and Elai Vadam.",400
13,Nendra Pazham Pulissery Recipe - Ayurvedic Recipe,Kerala,Kerala Recipes,4,"To begin making the Nendra Pazham Pulissery Recipe, heat oil in heavy bottomed pan; add the turmeric powder and the Nendra Pazham along with the salt. Stir fry and cook the Nendra Pazham until it is soft and cooked through.Meanwhile grind all the ingredients - coconut, green chillies, cumin seeds, curry leaves along with 1/2 cup warm water to make a smooth mixture.Add this coconut mixture along with the yogurt to the cooked Nendra Pazham and bring to a brisk boil. Add salt to taste and adjust according to taste. Boil for about 3 to 4 minutes and then turn off the heat.To temper, heat a small tempering pan on heat with oil and add the mustard seeds and allow it to splutter for few seconds and add the curry leaves and the urad dal and allow the dal to turn crisp and golden brown.Once done, turn off the heat and add the seasoning over the Nendra Pazham Pulissery and transfer to a serving bowl and serve hot.Serve the Nendra Pazham Pulissery Recipe along with Steamed Rice, Pavakkai Poriyal Recipe and Elai Vadam for a wholesome lunch or dinner.",421
14,Kerala Chicken Curry Recipe With Freshly Ground Spices,Kerala,Kerala Recipes,4,"To prepare Kerala Chicken Curry With Freshly Ground Spices, get prep with all the ingredients and marinate chicken with curd and salt for 2 hours.To make the fresh masala.In a shallow frying pan, dry roast the  peppercorns, coriander seeds, cinnamon stick, fennel and dried red chilies.Roast for about 5 minutes on medium-low flame. Then turn off the flame, allow it to cool and grind to a corase powder using a mixer-grinder. Heat oil in kadai, add mustard seeds. When it splutters, add onion and curry leaves. Sauté.When onions are lightly brown, add ginger, garlic, and sauté for a minute.Add chicken, half of the ground masala, and salt. If using grated or desiccated coconut, add in.Mix them, cover with a lid, simmer and cook till the chicken is almost done, for about 15-20 minutes at least. Keep sautéing occasionally to avoid charring.If using coconut milk, add it now, and simmer for five more minutes till well combined and cooked.Lastly, add the reserved half of the ground masala and give it a nice stir.Keep it covered for 5-10 minutes before serving, to help the flavors combine well. Serve the Kerala Chicken Curry With Freshly Ground Spices along with Kerala Style Appam Recipe (Without Yeast) or Ghee Rice Recipe | Neychoru and a side of Meen Varuthathu Recipe - Kerala Style Fish Fry for a complete meal. ",434
15,Karnataka Special Huli Tovve Recipe,Kerala,Kerala Recipes,2,"To begin with Huli Tovve, wash and soak the toor dal till you prepare your vegetables.Wash and cut the vegetables. Pressure cook Toor dal, mixed vegetables and peanuts till they the cooker releases 3-4 whistles.The next step is to prepare the paste. Dry roast urad dal, chana dal, cinnamon and red chilli separately till they turn light gold. Add coconut to this and grind all of this into a smooth paste.Remove the lid after the cooker cools down. Add the ground paste to this and 2 cups of water, salt and jaggery and boil. Boil till the hulitovve thickens on high flame.For tempering, heat the oil in a tadka pan. Add mustard seeds and let it crackle. Add red chilly and curry leaves. Once they crisp up, add it to the hulitovve.Serve Huli Tovve with hot steamed rice and Elai Vadam.",438
16,Kerala Style Arabic Vegetable Recipe - Kerala Style Arbi Curry,Kerala,Kerala Recipes,3,"To make Kerala Style Arabic Vegetable, first wash and boil the Arabic well. Apply some coconut oil on your hands and peel the arbi. Cut the arbi and keep it aside. Add tamarind, salt, arbi and some water in a pan. Cook the arbi and tamarind till it is cooked well. Now put coconut, red chili powder and small onions in a mixer grinder. Grind and put this mixture in the pan. Add salt, mix and let it cook for 5 to 6 minutes. Now heat the oil in a tempering pan. Add mustard seeds and cumin seeds and let it cook for 10 seconds. Add onion, curry leaves and cook till the onion becomes soft. Add dry red chillies to it and let it cook for 10 seconds. Add this tempering to the curry and mix. Serve Kerala Style Arabic Vegetables with rice and cumin rasam for dinner.",529
17,Kerala Style Chicken Chatti Pathiri Recipe,Kerala,Kerala Recipes,4,"To begin making the Kerala Style Chicken Chatti Pathiri Recipe, we will first heat a saucepan over  medium heat.Add coconut oil, add curry leaves and allow it splutter. Add chopped ginger and garlic and saute for few seconds.Add sliced onions and fry them till they turn translucent. At this point you can add minced chicken along with all the spice powders - turmeric powder, red chilli powder, garam masala powder, pepper powder, salt and give it a toss.Adjust the seasoning according to your taste and saute well till the chicken is cooked. Keep it aside.To make the pathiri batter, in a mixing bowl, combine wheat flour, all purpose flour along with ½ cup of water and mix to form batter that is similar to that of a pancake batter.Now heat up a small flat skillet on medium heat, add a ladle full of the pathiri batter and swirl it around, Shape it like crepes and keep it as thin as possible. Flip and cook, ensuring it is juts about cooked and no brown spots appear. Repeat the same process till you finish the batter, to make enough crepes for layering.Now layer each crepe with the chicken mixture and build it up. Crepe-chicken-crepe, repeat the layers.  Heat a skillet with oil, carefully place the layered Chicken Pathiri and roast till it is light brown. Carefully flip it over and roast it on the other side. Turn off the flame. Serve the Kerala Style Chicken Chatti Pathiri Recipe along with Masala Chai Recipe - Indian Spiced Tea or Ginger Cardamom Chai  to enjoy your evening snack.",555
18,Kerala Pazham Pori Recipe - Banana Fritters Recipe | Nedra Pazham Fry,Kerala,Kerala Recipes,4,"We begin making the Kerala Pazham Pori Recipe (Banana Fritters Recipe) by prepping all the ingredients and keeping them ready.First step is to make the batter.In a mixing bowl, combine the rice flour, maida, baking soda, salt, turmeric powder, cardamom powder and sugar. Stir well to combine.Add little water at a time and make a thick batter such that it smoothly coats the back of the spoon. Next, cut the banana into thin long stripes and keep aside.Heat the oil in a kadai for deep frying and keep it ready.Once the oil is hot, dip the banana slices in the batter until well coated and carefully slide it into the hot oil.Deep fry the Kerala Pazham Pori till it is golden brown and crisp on both sides.Drain the Kerala Pazham Pori from the oil and place it on a kitchen paper napkin to drain excess oil and serve hot.Serve the Kerala Style Pazham Pori Recipe can be served as a Tea Time Snack or make it for the festival of Onam.",616
19,Kerala Style Fish Curry Recipe,Kerala,Kerala Recipes,4,"To begin making Kerala Style Fish Curry Recipe, firstly clean and cut fishes.Take a small bowl and add red chilli powder, coriander powder and fenugreek powder with little water to make slurry. Keep it aside.Heat coconut oil in clay pot earthenware. (If you don’t have one use non-stick kadai)Once hot, crackle mustard seeds. Now add chopped shallots and garlic. Sauté them until translucent or for about 2-3 minutes.After 2 to 3 minutes, add the curry leaves. Once they sizzle, add the ginger-garlic paste. Sauté it till the raw smell leaves.Now, add the chilli coriander fenugreek mixture. Let it cook for about 2 minutes.Now, add 2 cups of water and bring to a boil. Add the tamarind water, salt and fish pieces.Let it cook for 15 minutes. Just give it a slight shake at regular intervals or use the spoon to slowly move the fish pieces around. This is crucial step since the fish being delicate may break if stirred heavily.Kerala style Fish Curry Recipe is ready to enjoy. Serve Kerala Style Fish Curry Recipe along with Steamed Rice and Rava Fried Prawns for a weekday meal.",667
20,Kerala Style Chakka Pal Kozhukattai Recipe-Rice Dumpling In Jackfruit flavored Coconut Milk,Kerala,Kerala Recipes,4,"We begin making the Kerala Style Chakka Pal kozhukattai Recipe by boiling the jackfruit. To make the Jackfruit puree for the Chakka Pal kozhukattaiIn a kadai, combine the chopped jackfruit with 1/2 cup water over a medium heat. Leave it on, for about 20 minutes till the jackfruit become soft.Now once the jackfruit is done, allow it to cool down. Transfer the jackfruit into a mixer-jar and grind it  into a smooth puree. Keep it aside.To make the Coconut Milk for the Chakka Pal kozhukattaiNext make coconut milk by combining the grated coconut and 1/2 cup of water in a grinder until smooth. Once done pour it over a strainer and take the first milk out. Once you squeeze out all the water. Add the coconut back into the grinder and add some more water and grind it once again. Squeeze out all the water again into the same bowl and keep it aside.To make the rice dumplings for the Chakka Pal kozhukattaiIn a mixing bowl, add the rice flour, salt oil and 2 tablespoon of the jackfruit puree and water, knead it into a firm dough. Rest it for 20 minutes. After 20 minutes, grease your hands with some ghee and start making the rice dumplings by making small round shaped dumplings with the dough. Make the dumplings using all the dough and keep aside. To assemble the Chakka Pal kozhukattaiHeat a saucepan on medium flame, combin  the coconut milk, jackfruit puree, and cardamom stirring continuously using a whisk.Reduce the heat, and allow the coconut milk to simmer.Next, keep a small bowl of ghee by your side, grease your fingers with it and start making the rice dumplings by rolling small round shaped dumplings with the mixed rice flour dough and drop it into the boiling coconut milk. Gradually drop the rice dumplings into this coconut-jackfruit milkOnce everything is complete you can keep stirring until the milk thickens and then turn off the flame. Serve the Kerala Style Chakka Pal kozhukattai Recipe along with Kerala Style Pazham Pori Recipe (Banana Fry)  to kick start your meal.",735
21,Kerala Style Sugiyan Recipe (Sweet Moong Dal Bondas),Kerala,Kerala Recipes,4,"To begin making the Kerala Style Sugiyan Recipe, soak the mung dal and keep it ready. Pressure cook the green mung bean with water for about 4 whistle till it is just cooked. Once the pressure has released naturally, take them out.Heat a saucepan, add jaggery and little bit of water for the jaggery to melt. Once it is completely melted you can add cardamom pods.Leave it to boil for 10 minutes and add cooked green mung bean and coconut and mix well. Make sure the mixture becomes dry.Keep it on a medium heat and allow it to boil so that the water is all evaporated.Cool it down and mix besan flour into the mixture and combine them together. Take little mixture and shape them into small balls.In a mixing bowl, add rice flour, turmeric powder and little water to create a smooth slightly thick batter.Heat a kuzi paniyaram pan with oil, dip the round shaped filling into the rice flour batter and carefully place them in the kuzi paniyaram pan.After 5 minutes flip it over the other side and cook for few minutes until it is evenly crisped on all sides. Serve the Kerala Style Sugiyan Recipe (Sweet Moong Dal Bondas) along with tea or coffee to enjoy your evening snack in a healthy way.",739
22,Kerala Cherupayar Curry Recipe (Green Moong and Yellow Moong Dal Recipe),Kerala,Kerala Recipes,4,"To begin making the Kerala Cherupayar Curry Recipe, soak the green mung bean in water for at least 2 hours.Pressure cook the green mung bean with water for about 4 whistle till it is just cooked. Once the pressure has released naturally, take them out and pressure cook the yellow moong dal now by adding some water, turmeric powder and pressure cook for 4 whistle.Wait for the pressure to release naturally and mash the dal to a smooth paste.Heat a kadai with oil, add mustard seeds and allow it splutter for few seconds and add curry leaves and be careful as it will splutter quickly.Add the whole shallots and saute until they soften. Add mashed yellow moong dal along with cooked green moong dal and mix well. Cook in simmer.Meanwhile grind the coconut, green chilli, cumin seeds in a mixer and grind it into a smooth paste by adding little water. Add this ground paste into the boiling dal, adjust your salt levels and boil for another 10 minutes and serve hot. Serve the Kerala Cherupayar Curry Recipe along with puttu or steamed rice. It can also be paired with phulka for a lunch box.
",777
23,Nei Appam / Unniyappam Recipe - Coconut Banana Fritters,Kerala,Kerala Recipes,4,"To begin making the Nei Appam / Unniyappam recipe, wash and soak the rice in water for 2 hours. Strain the water completely. Using a blender, grind the rice with very little water to a thick batter. Melt the jaggery with about 1/4 cup of water. Stir in the jaggery syrup, mashed bananas, coconut, salt, eno and cardamom powder to the rice batter.  Make sure all the ingredients are well combined into the batter.The Nei Appam / Unniyappam batter should be of thick pouring consistency.Now, heat a paniyaram pan (a pan with cup shaped depressions). Add a teaspoon of oil or ghee to each depression. Now drop in a large spoonful of Nei Appam / Unniyappam batter into each depression.Allow it to cook for a few minutes until you notice that the top is getting steamed. You can optionally cover the pan to cook the top of the Nei Appam / Unniyappam faster.Turn over after a few minutes to cook on the other side. Cook the Nei Appam / Unniyappam on medium heat, as you want the batter to get cooked evenly from the inside as well.Once the Nei Appam / Unniyappam is browned well and crisp on both sides, remove from the pan and serve hot. Serve the Kerala Style Nei Appam / Unniyappam Recipe as a Tea time snack or even as a school snack box for kids.
",782
24,Kerala Style Vendakka Uppadan Recipe,Kerala,Kerala Recipes,4,"To begin making Vendakkai Uppadan Recipe (Kerala Style Okra Curry Without Coconut), soak the lemon sized tamarind in luke warm water in a bowl for 10 minutes and extract the juice out of it and keep aside.In the meantime, heat a Shallow Fry Pan, and dry roast the ingredients listed under “dry roast and ground to a course mix” till fragrant.Grind them to a course mix using a Mixer grinder, and keep aside.Now, heat oil in the shallow fry pan on a medium flame, add the mustard seeds and let it crackle.Add the asafoetida and curry leaves and allow it to crackle.Now, add the cut okra and sauté for a few minutes until the sliminess disappears.Add the tamarind extract and a cup of water, turmeric powder, salt and let the okras cook with the lid closed. This will take around 3-4 minutes.Now, add the spice mix and let it simmer for other 2-3 minutes. Cook until the curry turns thick considerably.Switch off the flame and serve the Vendakkai Uppadan Recipe (Kerala Style Okra Curry)  with Steamed rice, Snake Gourd Thoran Recipe (Turai Thoran) and Paruppu Podi for a weeknight dinner.
",894
25,Kerala Chicken Roast Recipe,Kerala,Kerala Recipes,4,"To begin making the Kerala Chicken Roast recipe, wash and clean the chicken pieces.In a mixing bowl marinate the cleaned chicken along with  turmeric powder, kashmiri chili powder, lemon juice and salt to taste and keep in the refrigerator for half an hour. This will help the chicken get tender.Shallow fry the marinated chicken pieces in a heavy bottomed pan on medium heat till it becomes golden brown on either side the chicken is just about cooked. Remove the chicken pieces from the pan.To the same pan, heat oil on medium heat; add the sliced onions with a pinch of salt. Cook till onions turn golden brown. Add the ginger and garlic and cook for a few seconds until the flavours start coming through.Add coriander, red chilli, garam masala fennel powder and saute for a few seconds till masala is cooked through.Add sliced tomatoes and curry leaves along salt and mix well. When the tomatoes become soft, add one or two spoons of water to get a nice paste like consistency.At this stage, add the fried chicken pieces and give a good stir till the masala coats the chicken well.The Kerala Chicken Roast pieces should be succulent coated well with the masala. Stir fry the chicken in the masala for about 4 to 5 minutes. Check the salt and spices and adjust to suit your taste.Once done, turn off the heat and transfer the Kerala Chicken Roast to a serving bowl.Serve Kerala Chicken Roast along with Malabar Parotta, Steamed Rice, Pineapple Rasam and a Cabbage Thoran for a weeknight dinner or even a special weekend lunch.
",922
26,Kerala Style Taro Root Curry Recipe (Colocasia),Kerala,Kerala Recipes,3,"To begin making the Kerala style Taro root curry, first thoroughly wash and scrub theboiled Taro roots. (You can soak them for 20-30 minutes in water, so that the dirt comes off easily)Apply some coconut (or any other) oil to your hands and peel them. Be sure to remove the green layer under the skin too.Cut the Taro root into bite sized pieces.In a sauce pan/Kadai or a seasoned earthen pot add the Taro root, tamarind piece(s), salt and some water. Cook on low flame till it is well cooked.Meanwhile, in a mixer blend together the coconut, chilli powder and small onions.Add this mixture to the cooked Taro roots, add salt if required and cook for 5-6 minutes more.Heat oil in a small pan and add the mustard seeds. Once they splutter add the cumin seeds.Add the onions, curry leaves and sauté for a minute.Add the red chillies, sauté for a few seconds and add this tempering to the Taro root curry.Mix well and cook for 1-2 minutes.Your Kerala Style Taroo Root Curry Recipe Is ready, serve with hot rice or phulkas
",923
27,Pavakka Pachadi Recipe - Bitter Gourd Pachadi,Kerala,Kerala Recipes,4,"To begin making the Pavakka Pachadi Recipe, first wash the bitter gourd, cut it lengthwise and remove all seeds. Chop it to small pieces.Add 1 teaspoon of salt and a pinch of turmeric powder to bitter gourd slices and mix well. Keep it aside for 30 to 40 minutes. Bitter Gourd would have left some water. Discard it. Again sprinkle little water, mix and squeeze the bitter gourd slices with your hand. This helps to reduce the bitterness of bitter gourd.Heat oil in a heay bottomed pan, add chopped bitter gourd and saute. Keep sauteing in low medium flame. When the bitter gourd is 75% done, add chopped onions and saute . Meanwhile, prepare the masala. Grind coconut, mustard, green chillies and salt to a smooth water adding little water. When the bittergourd and onions are done, add the ground paste to the roasted veggies, add curd or buttermilk . Give a mix and allow it to gently boil on a low medium flame. Switch off. The next step is to prepare the tempering. Heat oil in a tadka pan, add mustard seeds, when it splutters, add red chillies, curry leaves and pour it over the pachadi.Pavakka Pachadi is ready to be savoured! Serve Pavakka Pachadi along with Keerai Sambar, Steamed Rice and Raw Banana Thoran for a delicious everyday meal
",924
28,Biryani Chammanthi Recipe (Green Chutney Recipe),Kerala,Kerala Recipes,4,"To begin making the Biryani Chammanthi Recipe, keep all the ingredients ready and add them into a grinder and grind it into a smooth paste.Once done add lemon juice and salt and mix well and serve. Serve the Biryani Chammanthi Recipe (Green Chutney Recipe) along with Peppery Mushroom Biryani Recipe or Awadhi Style Chickpea Kofta Biryani Recipe.
",948
29,Omakka Curry Recipe - Kerala Style Papaya Curry,Kerala,Kerala Recipes,3,"To begin making the Omakka Curry Recipe, cut the papaya into medium cubes and mix with red chilli powder, turmeric powder and salt with a little water.Add them into a pressure cooker and cook till it releases 1 whistle. After 1 whistle, simmer for 5 minutes on low heat. Switch off the heat and let the pressure release naturally. In the meantime, soak the tamarind in warm water. Take out the pulp after 15 minutes and keep it aside.In a mixie jar, take the grated coconut, green chillies, 1 sambar onion, and cumin seeds with a little water and proceed to make a fine paste. Keep it aside.Open the cooker, mash the cooked papaya into a soft pulp and mix with the coconut green chilli and onion paste. Switch on the heat again. Cook it on a very low flame. Water can be added at this stage if you need less consistency in your curry. Keep stirring for only a few seconds and then add the tamarind pulp to it.Cook this for 3 or 4 minutes on a low flame. Switch off the flame.Heat required oil in a tadka pan. Add mustard seeds and when they crackle, add thinly sliced sambar onions.When the onions turn brown, add the dry red chillies and curry leaves.  Saute for about 15 seconds and turn off the gas.Pour this onto the papaya curry and give it a stir. Serve hot.Serve Omakka Curry along with Kerala Matta Rice/ Steamed Rice for a weekday lunch. You can also serve it with Phulka and Beetroot Raita for your everyday meals.
",955
